iter	RMSE
0	5459.551253
1	5331.167394
2	5194.061976
3	5065.737268
4	4947.659962
5	4840.632745
6	4752.620078
7	4664.963785
8	4584.377836
9	4508.951464
10	4438.728963
11	4377.160255
12	4318.460578
13	4270.585292
14	4220.740334
15	4174.257819
16	4132.815117
17	4093.853609
18	4056.987102
19	4026.025058
20	3990.006919
21	3958.885469
22	3929.948652
23	3906.642412
24	3885.058634
25	3860.938416
26	3837.446278
27	3820.301022
28	3803.790787
29	3785.354294
30	3770.951808
31	3754.701625
32	3739.945677
33	3726.759756
34	3712.437166
35	3702.035265
36	3690.484048
37	3678.282177
38	3667.985418
39	3658.636239
40	3645.326452
41	3637.514479
42	3626.552221
43	3613.422945
44	3604.046256
45	3598.180104
46	3590.662743
47	3581.300078
48	3575.645942
49	3568.358357
50	3562.799643
51	3554.893714
52	3549.305084
53	3543.367166
54	3537.102356
55	3528.532943
56	3522.739158
57	3514.997934
58	3507.649559
59	3504.237433
60	3496.545636
61	3490.868707
62	3486.135741
63	3480.815814
64	3475.610001
65	3468.3683
66	3463.459561
67	3457.039888
68	3450.523955
69	3445.987321
70	3442.477845
71	3438.428022
72	3433.430062
73	3429.124737
74	3422.202552
75	3417.692431
76	3411.41119
77	3406.359831
78	3403.808938
79	3401.091632
80	3396.452089
81	3393.582376
82	3391.473247
83	3385.672002
84	3379.209289
85	3375.830758
86	3373.149048
87	3369.493023
88	3365.806427
89	3362.858596
90	3358.705313
91	3354.673661
92	3347.287135
93	3345.062281
94	3340.450052
95	3336.154883
96	3333.39464
97	3328.635625
98	3325.270657
99	3320.080605
100	3317.622254
101	3314.674673
102	3309.587774
103	3305.524469
104	3299.449661
105	3296.310868
106	3293.868512
107	3290.733306
108	3288.380729
109	3285.32402
110	3279.231896
111	3274.509604
112	3267.362482
113	3265.282543
114	3262.727162
115	3259.121551
116	3257.269079
117	3251.834659
118	3249.667128
119	3248.348744
120	3247.068315
121	3243.874885
122	3241.118402
123	3235.852937
124	3233.740407
125	3228.796038
126	3224.061925
127	3223.110301
128	3220.860539
129	3216.303558
130	3213.824265
131	3211.550888
132	3207.521402
133	3206.068337
134	3204.972252
135	3201.780313
136	3199.888189
137	3196.995982
138	3193.89453
139	3191.574891
140	3188.685391
141	3187.545726
142	3185.82952
143	3180.6871
144	3177.478953
145	3174.570153
146	3172.046328
147	3168.506058
148	3166.438678
149	3164.591774
150	3163.134717
151	3161.14813
152	3158.956185
153	3157.407536
154	3153.44606
155	3151.730082
156	3150.489751
157	3148.818302
158	3147.277298
159	3145.115614
160	3143.621486
161	3141.329997
162	3140.30576
163	3138.405386
164	3135.016081
165	3131.680045
166	3129.585848
167	3127.257337
168	3125.798177
169	3123.295557
170	3121.28256
171	3120.02056
172	3117.48549
173	3113.223856
174	3111.880254
175	3110.062981
176	3108.485584
177	3105.454232
178	3103.86718
179	3102.292498
180	3099.66377
181	3097.71586
182	3096.427049
183	3094.998069
184	3094.261109
185	3091.502837
186	3088.304721
187	3086.574972
188	3084.234143
189	3080.017889
190	3076.235092
191	3074.842664
192	3073.348024
193	3071.944951
194	3070.557276
195	3068.625297
196	3066.054529
197	3064.959433
198	3063.332511
199	3062.285604
200	3060.812073
201	3059.007869
202	3058.180603
203	3056.649239
204	3055.368162
205	3053.815445
206	3051.59288
207	3050.135113
208	3047.986238
209	3044.669024
210	3042.543258
211	3041.118507
212	3039.536411
213	3038.580782
214	3036.969843
215	3034.90269
216	3032.438374
217	3030.814759
218	3029.289459
219	3026.121088
220	3024.76664
221	3021.305369
222	3020.217362
223	3018.788683
224	3017.347531
225	3015.956807
226	3014.635248
227	3013.386647
228	3010.654087
229	3009.889362
230	3007.575497
231	3005.736388
232	3003.953739
233	3002.357526
234	3000.959566
235	2999.046486
236	2997.25741
237	2995.826769
238	2994.587022
239	2992.779159
240	2991.27744
241	2989.823792
242	2989.259394
243	2987.917995
244	2986.299219
245	2985.195176
246	2983.275991
247	2981.603823
248	2980.506705
249	2977.821928
250	2976.258756
251	2975.277883
252	2973.923159
253	2972.051814
254	2970.71435
255	2969.743252
256	2967.717767
257	2964.348565
258	2963.695592
259	2962.168432
260	2960.505085
261	2958.930648
262	2957.503489
263	2956.233182
264	2955.464311
265	2952.847724
266	2951.617095
267	2950.305542
268	2949.354366
269	2947.156074
270	2946.203594
271	2944.589061
272	2944.073857
273	2942.435824
274	2941.699424
275	2940.13509
276	2938.888961
