iter	Passed	Remaining
0	3	3445
1	6	3213
2	9	3108
3	12	3093
4	17	3416
5	20	3469
6	28	4064
7	32	4040
8	36	4012
9	40	3993
10	44	3971
11	48	4029
12	53	4045
13	56	3995
14	60	3962
15	63	3927
16	67	3889
17	70	3859
18	74	3856
19	77	3792
20	80	3761
21	83	3714
22	86	3668
23	89	3629
24	92	3590
25	95	3567
26	97	3531
27	100	3488
28	103	3450
29	106	3428
30	108	3397
31	111	3381
32	114	3352
33	117	3325
34	119	3300
35	122	3275
36	125	3254
37	128	3247
38	131	3234
39	134	3219
40	137	3206
41	140	3194
42	143	3192
43	146	3189
44	150	3186
45	152	3167
46	155	3149
47	158	3149
48	161	3137
49	164	3129
50	167	3117
51	170	3107
52	173	3099
53	177	3101
54	179	3090
55	183	3095
56	189	3130
57	192	3128
58	196	3134
59	199	3132
60	203	3130
61	207	3133
62	211	3152
63	216	3166
64	219	3162
65	224	3172
66	227	3174
67	232	3185
68	236	3190
69	239	3184
70	243	3187
71	248	3201
72	251	3194
73	255	3195
74	258	3191
75	262	3188
76	265	3185
77	269	3190
78	275	3211
79	279	3212
80	282	3209
81	286	3207
82	289	3201
83	293	3197
84	296	3192
85	301	3204
86	304	3194
87	307	3184
88	310	3173
89	312	3163
90	316	3158
91	319	3153
92	322	3147
93	325	3141
94	329	3136
95	332	3132
96	335	3124
97	338	3116
98	341	3110
99	344	3104
100	348	3100
101	351	3092
102	354	3083
103	358	3090
104	364	3106
105	367	3100
106	371	3096
107	374	3095
108	378	3090
109	382	3093
110	393	3150
111	401	3186
112	406	3188
113	410	3188
114	414	3192
115	418	3186
116	421	3182
117	425	3178
118	428	3173
119	432	3169
120	435	3161
121	438	3155
122	443	3161
123	446	3155
124	449	3149
125	452	3140
126	456	3135
127	459	3131
128	463	3127
129	466	3120
130	469	3115
131	472	3107
132	476	3103
133	479	3097
134	482	3090
135	485	3084
136	489	3081
137	494	3091
138	498	3089
139	502	3088
140	506	3082
141	509	3078
142	514	3084
143	518	3081
144	521	3075
145	524	3069
146	528	3066
147	533	3068
148	537	3071
149	543	3079
150	549	3088
151	553	3086
152	557	3084
153	560	3081
154	564	3078
155	568	3073
156	573	3081
157	577	3075
158	580	3069
159	583	3063
160	587	3059
161	590	3054
162	594	3052
163	598	3053
164	602	3048
165	605	3040
166	607	3032
167	610	3025
168	613	3017
169	616	3011
170	619	3004
171	622	2998
172	625	2991
173	628	2983
174	631	2976
175	634	2971
176	637	2964
177	641	2961
178	646	2963
179	649	2958
180	652	2953
181	656	2950
182	660	2946
183	665	2949
184	673	2968
185	678	2967
186	682	2968
187	686	2964
188	690	2964
189	696	2969
190	699	2962
191	702	2957
192	705	2951
193	708	2945
194	712	2941
195	715	2936
196	718	2930
197	721	2923
198	724	2917
199	728	2914
200	732	2911
201	735	2905
202	738	2900
203	741	2894
204	744	2888
205	747	2881
206	750	2874
207	753	2867
208	756	2861
209	759	2855
210	762	2851
211	765	2846
212	769	2842
213	772	2837
214	776	2835
215	780	2831
216	783	2828
217	787	2824
218	790	2818
219	793	2813
220	796	2809
221	800	2804
222	803	2799
223	807	2796
