iter	RMSE
0	5473.470365
1	5344.546025
2	5225.142635
3	5119.857436
4	5014.885143
5	4922.042048
6	4832.825915
7	4746.02505
8	4669.957442
9	4597.868536
10	4532.310991
11	4473.868868
12	4418.92088
13	4368.388455
14	4317.54654
15	4272.984775
16	4230.614639
17	4188.955062
18	4149.54948
19	4114.973657
20	4081.229544
21	4048.891736
22	4018.370762
23	3991.261133
24	3965.357773
25	3942.037645
26	3918.923405
27	3896.108891
28	3878.12967
29	3862.554096
30	3845.554014
31	3829.642384
32	3813.576014
33	3796.094549
34	3780.442275
35	3767.658757
36	3759.422073
37	3745.408173
38	3731.769136
39	3718.956457
40	3707.049898
41	3695.43332
42	3685.801019
43	3674.438058
44	3666.768271
45	3657.597331
46	3648.304004
47	3637.16347
48	3628.991463
49	3621.933302
50	3614.049498
51	3609.00491
52	3598.890758
53	3592.381669
54	3582.902726
55	3572.163359
56	3564.51094
57	3556.17129
58	3550.694018
59	3539.690998
60	3534.87472
61	3528.305526
62	3523.101966
63	3518.569793
64	3511.111058
65	3506.629281
66	3502.72987
67	3497.590353
68	3494.065996
69	3488.729472
70	3485.48355
71	3480.858542
72	3476.389548
73	3470.662852
74	3461.839212
75	3456.794902
76	3452.898391
77	3448.370627
78	3444.473672
79	3441.706456
80	3437.438676
81	3433.96539
82	3428.54655
83	3423.594531
84	3419.570536
85	3414.04102
86	3407.314406
87	3403.535363
88	3400.052686
89	3398.31227
90	3393.817771
91	3388.880601
92	3385.292428
93	3381.690212
94	3379.270745
95	3374.619891
96	3370.571752
97	3367.112234
98	3363.739542
99	3360.309021
100	3356.926765
101	3351.768087
102	3349.982922
103	3346.525083
104	3344.26009
105	3339.429788
106	3336.242917
107	3334.242808
108	3329.522246
109	3327.099598
110	3321.078964
111	3317.953968
112	3313.818448
113	3310.111239
114	3307.629905
115	3305.702178
116	3302.819129
117	3300.728697
118	3296.612368
119	3293.554646
120	3292.105964
121	3289.923116
122	3287.136086
123	3284.573396
124	3282.67332
125	3281.717459
126	3277.628536
127	3275.740841
128	3271.840649
129	3269.15988
130	3266.90624
131	3263.242391
132	3259.527369
133	3257.941578
134	3256.600574
135	3254.511379
136	3252.07245
137	3249.113132
138	3247.232707
139	3245.139843
140	3243.490318
141	3240.853744
142	3239.030635
143	3235.457688
144	3234.081977
145	3232.552158
146	3229.674179
147	3224.721626
148	3219.41732
149	3217.496843
150	3213.710543
151	3212.618253
152	3210.617626
153	3209.046818
154	3206.641393
155	3205.542246
156	3203.936507
157	3202.255913
158	3200.44361
159	3198.066499
160	3197.029812
161	3194.89019
162	3192.676797
163	3190.600091
164	3189.049519
165	3187.037196
166	3185.412322
167	3184.472093
168	3182.380098
169	3181.063079
170	3178.143589
171	3175.564064
172	3173.292493
173	3170.941018
174	3169.7606
175	3168.936622
176	3165.58089
177	3163.929945
178	3161.839047
179	3160.428641
180	3159.134067
181	3156.307177
182	3154.702901
183	3152.999319
184	3151.441154
185	3149.492824
186	3148.045375
187	3145.290602
188	3143.684966
189	3142.090918
190	3140.195169
191	3138.395431
192	3136.398634
193	3132.62013
194	3130.866171
195	3128.027277
196	3125.21002
197	3123.815429
198	3122.389319
199	3120.377462
200	3118.694189
201	3117.066487
202	3115.441025
203	3113.999829
204	3109.948325
205	3107.845448
206	3106.988762
207	3103.211673
208	3101.018901
209	3099.648418
210	3097.192889
211	3095.128667
212	3093.265885
213	3092.124952
214	3090.195893
215	3087.842073
216	3086.148946
217	3083.935359
218	3082.302103
219	3081.039355
220	3079.948576
221	3078.006401
222	3074.774132
223	3071.815149
224	3070.451698
225	3068.956615
226	3067.879449
227	3066.368877
228	3064.988019
229	3063.852565
230	3060.490652
231	3059.05486
232	3056.948305
233	3055.342678
234	3053.888839
235	3052.852288
236	3051.185994
237	3049.965436
238	3048.610905
239	3047.069388
240	3045.857058
241	3044.912501
242	3043.234338
243	3042.089073
244	3039.799597
245	3038.749223
246	3037.678777
247	3036.418357
248	3034.315204
249	3032.5826
250	3031.678567
251	3030.554992
252	3029.245586
253	3028.49706
254	3026.984685
255	3025.890359
256	3022.632953
257	3021.06056
258	3019.113464
259	3017.612497
260	3015.670317
261	3013.74156
262	3012.791324
263	3011.456503
264	3010.484687
265	3008.65375
266	3007.26377
267	3005.369467
268	3004.035591
269	3002.492268
270	3000.911546
271	2998.723797
272	2997.047209
273	2996.432499
274	2994.012922
275	2991.858093
276	2991.048374
277	2989.969083
278	2988.260217
279	2987.222196
280	2985.454406
281	2984.247704
282	2983.062347
283	2981.948701
284	2980.960964
285	2979.620384
286	2978.72759
287	2977.766634
288	2976.004567
289	2974.681971
290	2973.066067
291	2972.08928
292	2971.057231
293	2970.350114
294	2969.098157
295	2967.989911
296	2966.837978
297	2964.589342
298	2963.602226
299	2962.274255
300	2961.489009
301	2960.245028
302	2959.632712
303	2958.808221
304	2956.844102
305	2955.364347
306	2954.005257
307	2952.668722
308	2951.556229
309	2950.48919
310	2949.467438
311	2947.878415
312	2946.568544
313	2945.890541
314	2943.659432
315	2942.760692
316	2941.855226
317	2940.639089
318	2938.813954
319	2937.980589
320	2937.352607
321	2936.407814
322	2934.720856
323	2934.089221
324	2932.148182
325	2930.779251
326	2929.403989
327	2928.595811
328	2927.362316
329	2926.594248
330	2925.739561
331	2925.157553
332	2924.469162
333	2923.490648
334	2922.37865
335	2921.503612
336	2920.513534
337	2918.626979
338	2917.068884
339	2915.745127
340	2915.149012
341	2914.338001
342	2913.247251
343	2912.302342
344	2911.084551
345	2910.148307
346	2908.85815
347	2906.922615
348	2906.272438
349	2904.682962
350	2903.671557
351	2902.566449
352	2901.255847
353	2900.342028
354	2898.993185
355	2897.155108
356	2895.41513
357	2893.798518
358	2892.889887
359	2892.014731
360	2890.961426
361	2890.214851
362	2888.821829
363	2887.258731
364	2886.565349
365	2885.583261
366	2884.888472
367	2883.864905
368	2882.45696
369	2881.893526
370	2881.026144
371	2879.434992
372	2878.741311
373	2878.047477
374	2877.179209
375	2875.21713
376	2874.069017
377	2872.76798
378	2870.945093
379	2870.238744
380	2868.929318
381	2867.754649
382	2865.975798
383	2865.17135
384	2864.064469
385	2862.473222
386	2861.212649
387	2859.9465
388	2858.329421
389	2856.857949
390	2856.050391
391	2854.894029
392	2853.415865
393	2852.399833
394	2851.694954
395	2850.17324
396	2849.37219
397	2848.110103
398	2847.577998
399	2846.58294
400	2845.228648
401	2844.565552
402	2843.716678
