iter	Passed	Remaining
0	3	3340
1	7	3873
2	10	3580
3	13	3360
4	16	3223
5	18	3078
6	22	3170
7	25	3178
8	28	3149
9	31	3110
10	34	3082
11	38	3138
12	41	3126
13	43	3087
14	46	3051
15	49	3027
16	52	3023
17	56	3078
18	59	3064
19	62	3046
20	65	3033
21	68	3036
22	72	3085
23	75	3089
24	79	3104
25	82	3084
26	86	3121
27	89	3110
28	92	3092
29	95	3074
30	97	3056
31	102	3087
32	105	3082
33	108	3070
34	110	3056
35	113	3040
36	117	3065
37	121	3065
38	124	3063
39	127	3060
40	132	3103
41	136	3120
42	140	3117
43	143	3110
44	146	3115
45	150	3119
46	153	3113
47	156	3110
48	159	3103
49	164	3123
50	168	3136
51	172	3137
52	174	3123
53	178	3134
54	182	3128
55	184	3117
56	187	3105
57	190	3092
58	194	3095
59	197	3089
60	199	3076
61	202	3064
62	205	3054
63	208	3055
64	212	3054
65	215	3044
66	217	3032
67	220	3021
68	223	3010
69	227	3018
70	230	3012
71	232	3002
72	235	2993
73	238	2983
74	242	2992
75	245	2984
76	248	2976
77	251	2967
78	253	2957
79	258	2971
80	261	2968
81	264	2960
82	267	2952
83	270	2944
84	276	2978
85	281	2993
86	285	2996
87	289	3005
88	293	3006
89	297	3006
90	302	3024
91	307	3031
92	311	3034
93	314	3033
94	319	3043
95	323	3046
96	326	3043
97	330	3037
98	334	3048
99	339	3057
100	343	3056
101	348	3069
102	353	3078
103	357	3077
104	360	3074
105	366	3088
106	373	3121
107	381	3154
108	386	3162
109	390	3161
110	398	3190
111	403	3197
112	406	3193
113	412	3202
114	416	3201
115	419	3194
116	422	3187
117	427	3195
118	431	3192
119	434	3187
120	438	3182
121	443	3190
122	446	3184
123	449	3177
124	452	3170
125	458	3181
126	462	3179
127	465	3173
128	469	3167
129	474	3177
130	479	3178
131	483	3179
132	486	3171
133	490	3172
134	493	3163
135	496	3153
136	499	3143
137	501	3134
138	505	3133
139	509	3127
140	512	3121
141	515	3114
142	519	3110
143	523	3109
144	526	3101
145	528	3092
146	531	3083
147	534	3078
148	538	3075
149	542	3074
150	545	3068
151	548	3059
152	552	3060
153	555	3054
154	558	3046
155	561	3038
156	564	3029
157	568	3031
158	572	3030
159	576	3027
160	579	3018
161	583	3018
162	586	3010
163	589	3002
164	593	3002
165	596	2997
166	600	2996
167	604	2991
168	607	2986
169	610	2980
170	614	2981
171	618	2976
172	621	2969
173	623	2962
174	626	2954
175	630	2952
176	633	2946
177	636	2938
178	639	2931
179	641	2924
180	645	2922
181	649	2919
182	652	2913
183	655	2905
184	659	2906
185	663	2904
186	667	2901
187	670	2897
188	675	2897
189	678	2893
190	682	2888
191	685	2882
192	688	2880
193	692	2876
194	695	2870
195	698	2865
196	701	2860
197	705	2858
198	709	2854
199	712	2851
200	715	2844
201	718	2837
202	722	2835
203	725	2831
204	728	2824
205	730	2817
206	733	2809
207	737	2808
208	740	2803
209	743	2796
210	746	2789
211	748	2783
212	753	2785
213	757	2782
214	760	2775
215	762	2769
216	765	2762
217	770	2764
218	774	2762
219	779	2763
220	786	2770
221	788	2764
222	791	2757
223	794	2750
224	796	2744
225	801	2744
226	804	2739
227	807	2735
228	810	2730
229	814	2727
230	818	2723
231	820	2717
232	823	2711
233	826	2705
234	829	2701
235	832	2696
236	835	2691
237	838	2685
238	841	2679
239	844	2674
240	848	2671
241	851	2667
242	854	2662
243	858	2658
244	862	2658
245	866	2655
246	870	2652
247	873	2649
248	878	2648
249	881	2644
250	884	2638
251	887	2633
252	890	2628
253	894	2626
254	897	2621
255	900	2615
256	902	2610
257	905	2604
258	909	2602
259	913	2598
260	917	2596
261	920	2593
262	925	2592
263	928	2589
264	931	2583
265	934	2578
266	937	2573
267	941	2571
268	944	2566
269	947	2560
270	949	2555
271	952	2549
272	957	2549
273	960	2543
274	962	2538
275	965	2532
276	968	2527
277	972	2526
278	976	2523
279	979	2519
280	983	2516
281	995	2535
282	998	2530
283	1002	2527
284	1005	2522
285	1008	2517
286	1011	2511
287	1013	2506
288	1017	2502
289	1020	2499
290	1024	2495
291	1027	2490
292	1030	2486
293	1035	2485
294	1038	2481
295	1041	2476
296	1043	2471
297	1046	2465
298	1051	2464
299	1054	2461
300	1058	2457
301	1061	2453
302	1065	2451
303	1069	2448
304	1073	2446
305	1076	2442
306	1081	2440
307	1084	2436
308	1087	2431
309	1090	2426
310	1093	2421
311	1097	2419
312	1100	2415
313	1103	2410
314	1106	2405
315	1108	2400
316	1113	2398
317	1116	2394
318	1119	2390
319	1123	2386
320	1127	2384
321	1130	2380
322	1134	2377
323	1137	2372
324	1140	2369
325	1144	2366
326	1147	2362
327	1151	2358
328	1154	2353
329	1158	2352
330	1163	2350
331	1166	2347
332	1169	2343
333	1173	2340
334	1177	2338
335	1181	2335
336	1184	2330
337	1187	2326
338	1191	2323
339	1194	2318
340	1196	2313
341	1199	2307
342	1202	2303
343	1206	2300
344	1209	2297
345	1212	2292
346	1215	2287
347	1219	2284
348	1222	2280
349	1225	2275
350	1228	2270
351	1231	2266
352	1234	2263
353	1238	2259
354	1241	2254
355	1243	2249
356	1246	2245
357	1249	2241
358	1253	2237
359	1256	2233
360	1259	2229
361	1261	2224
362	1265	2220
363	1270	2219
364	1274	2217
365	1278	2215
366	1282	2212
367	1285	2208
368	1289	2204
369	1292	2200
370	1295	2196
371	1299	2193
372	1302	2188
373	1306	2187
374	1309	2182
375	1314	2180
376	1317	2177
377	1320	2172
378	1323	2167
379	1325	2163
380	1330	2161
381	1333	2157
382	1336	2152
383	1338	2147
384	1341	2143
385	1345	2140
386	1348	2136
387	1351	2131
388	1354	2127
389	1357	2122
390	1361	2121
391	1365	2117
392	1368	2113
393	1371	2109
394	1375	2106
395	1379	2104
396	1383	2100
397	1386	2097
398	1389	2093
399	1393	2090
400	1396	2086
401	1399	2081
402	1401	2076
403	1404	2072
404	1408	2069
405	1411	2065
406	1414	2060
407	1417	2056
408	1419	2051
409	1424	2049
410	1427	2046
411	1431	2042
412	1434	2039
413	1439	2036
414	1442	2033
415	1445	2029
416	1448	2024
417	1450	2020
418	1454	2017
419	1458	2013
420	1460	2009
421	1463	2004
422	1466	2000
423	1471	1999
424	1475	1996
425	1479	1994
426	1482	1989
427	1487	1987
428	1490	1983
429	1493	1979
430	1496	1975
431	1499	1970
432	1503	1968
433	1506	1965
434	1509	1961
435	1513	1957
436	1517	1955
437	1520	1951
438	1523	1947
439	1526	1942
440	1529	1938
441	1533	1936
442	1536	1932
443	1539	1927
444	1542	1923
445	1545	1919
446	1549	1916
447	1553	1914
448	1557	1911
449	1561	1908
450	1565	1906
451	1568	1901
452	1571	1897
453	1574	1893
454	1576	1888
455	1581	1887
456	1586	1885
457	1591	1882
458	1595	1880
459	1598	1876
460	1601	1872
461	1603	1867
462	1606	1863
463	1610	1859
464	1613	1856
465	1616	1852
466	1619	1847
467	1621	1843
468	1625	1840
469	1629	1837
470	1632	1833
471	1635	1829
472	1638	1825
473	1642	1822
474	1645	1818
475	1648	1814
476	1650	1809
477	1653	1805
478	1657	1802
479	1660	1798
480	1663	1795
481	1666	1790
482	1668	1786
483	1673	1783
484	1677	1780
485	1680	1777
486	1684	1773
487	1688	1771
488	1691	1767
489	1694	1763
490	1698	1760
491	1701	1756
492	1705	1753
493	1708	1750
494	1711	1746
495	1714	1742
496	1717	1738
497	1721	1735
498	1724	1731
499	1727	1727
500	1729	1722
501	1732	1719
502	1736	1715
503	1739	1711
504	1742	1707
505	1744	1703
506	1747	1699
507	1751	1696
508	1754	1692
509	1757	1688
510	1759	1684
511	1762	1679
512	1767	1677
513	1770	1674
514	1774	1670
515	1777	1667
516	1781	1664
517	1785	1661
518	1789	1658
519	1792	1654
520	1796	1651
521	1799	1647
522	1802	1643
523	1804	1639
524	1807	1635
525	1811	1632
526	1814	1628
527	1817	1624
528	1821	1621
529	1824	1617
530	1828	1614
531	1831	1611
532	1834	1607
533	1837	1603
534	1839	1599
535	1844	1596
536	1847	1592
537	1850	1588
538	1852	1584
539	1855	1580
540	1859	1577
541	1863	1574
542	1866	1570
543	1869	1567
544	1873	1564
545	1878	1561
546	1882	1558
547	1885	1555
548	1890	1552
549	1893	1549
550	1896	1545
551	1899	1541
552	1901	1537
553	1905	1534
554	1909	1530
555	1912	1526
556	1914	1522
557	1917	1518
558	1921	1515
559	1925	1513
560	1928	1509
561	1931	1505
562	1937	1503
563	1941	1500
564	1944	1497
565	1947	1493
566	1951	1490
567	1954	1486
568	1957	1482
569	1960	1479
570	1964	1475
571	1968	1472
572	1971	1469
573	1975	1466
574	1979	1463
575	1983	1459
576	1986	1456
577	1989	1452
578	1992	1448
579	1995	1444
580	1999	1441
581	2001	1437
582	2004	1433
583	2007	1430
584	2010	1426
585	2014	1423
586	2017	1419
587	2019	1415
588	2022	1411
589	2025	1407
590	2029	1404
591	2032	1400
592	2036	1397
593	2039	1393
594	2043	1390
595	2046	1387
596	2050	1383
597	2053	1380
598	2056	1376
599	2060	1373
600	2063	1370
601	2066	1366
602	2069	1362
603	2073	1359
604	2077	1356
605	2080	1352
606	2084	1349
607	2088	1346
608	2092	1343
609	2095	1339
610	2098	1335
611	2100	1331
612	2104	1328
613	2108	1325
614	2111	1321
615	2113	1317
616	2116	1313
617	2119	1310
618	2123	1307
619	2127	1303
620	2130	1300
621	2133	1296
622	2137	1293
623	2140	1289
624	2143	1286
625	2146	1282
626	2149	1278
627	2153	1275
628	2156	1271
629	2159	1268
630	2161	1264
631	2164	1260
632	2168	1257
633	2171	1253
634	2174	1250
635	2179	1247
636	2183	1244
637	2186	1240
638	2190	1237
639	2193	1233
640	2196	1230
641	2200	1227
642	2203	1223
643	2206	1219
644	2209	1215
645	2212	1212
646	2217	1210
647	2220	1206
648	2224	1202
649	2227	1199
650	2231	1196
651	2234	1192
652	2237	1188
653	2239	1185
654	2242	1181
655	2246	1178
656	2249	1174
657	2252	1170
658	2255	1167
659	2258	1163
660	2263	1160
661	2266	1157
662	2269	1153
663	2271	1149
664	2274	1145
665	2277	1142
666	2281	1138
667	2284	1135
668	2288	1132
669	2293	1129
670	2297	1126
671	2301	1123
672	2305	1120
673	2314	1119
674	2318	1116
675	2322	1113
676	2326	1110
677	2329	1106
678	2332	1102
679	2335	1099
680	2339	1095
681	2342	1092
682	2345	1088
683	2348	1084
684	2351	1081
685	2355	1078
686	2358	1074
687	2361	1070
688	2364	1067
689	2367	1063
690	2371	1060
691	2374	1056
692	2377	1053
693	2382	1050
694	2386	1047
695	2390	1043
696	2393	1040
697	2396	1036
698	2399	1033
699	2403	1030
700	2407	1026
701	2410	1023
702	2413	1019
703	2416	1016
704	2420	1012
705	2424	1009
706	2427	1005
707	2430	1002
708	2435	999
709	2438	996
710	2441	992
711	2446	989
712	2450	986
713	2453	982
714	2456	979
715	2459	975
716	2462	971
717	2466	968
718	2469	964
719	2471	961
720	2474	957
721	2477	954
722	2481	950
723	2484	947
724	2488	943
725	2492	940
726	2496	937
727	2499	933
728	2501	930
729	2504	926
730	2507	922
731	2511	919
732	2514	915
733	2517	912
734	2520	908
735	2523	905
736	2527	901
737	2530	898
738	2534	895
739	2537	891
740	2541	888
741	2545	885
742	2548	881
743	2551	878
744	2555	874
745	2559	871
746	2562	867
747	2565	864
748	2569	860
749	2572	857
750	2576	854
751	2579	850
752	2583	847
753	2587	844
754	2591	840
755	2594	837
756	2597	833
757	2600	830
758	2604	827
759	2607	823
760	2610	819
761	2613	816
762	2615	812
763	2620	809
764	2623	805
765	2626	802
766	2628	798
767	2631	794
768	2635	791
769	2639	788
770	2642	784
771	2645	781
772	2649	778
773	2653	774
774	2657	771
775	2664	769
776	2670	766
777	2673	762
778	2677	759
779	2681	756
780	2685	752
781	2701	753
782	2706	750
783	2710	746
784	2715	743
785	2718	740
786	2722	736
787	2727	733
788	2731	730
789	2735	727
790	2740	723
791	2747	721
792	2751	718
793	2761	716
794	2765	713
795	2768	709
796	2771	706
797	2775	702
798	2781	699
799	2785	696
800	2794	694
801	2798	690
802	2802	687
803	2807	684
804	2811	680
805	2816	677
806	2821	674
807	2825	671
808	2831	668
809	2836	665
810	2841	662
811	2845	658
812	2848	655
813	2855	652
814	2858	648
815	2862	645
816	2867	642
817	2871	638
818	2876	635
819	2883	632
820	2887	629
821	2891	626
822	2894	622
823	2901	619
824	2904	616
825	2907	612
826	2912	609
827	2916	605
828	2920	602
829	2924	598
830	2927	595
831	2931	591
832	2936	588
833	2939	585
834	2945	582
835	2949	578
836	2952	575
837	2957	571
838	2961	568
839	2965	564
840	2969	561
841	2972	557
842	2977	554
843	2981	551
844	2986	547
845	2991	544
846	2994	540
847	2996	537
848	2999	533
849	3002	529
850	3005	526
851	3008	522
852	3011	518
853	3014	515
854	3017	511
855	3020	508
856	3024	504
857	3026	500
858	3029	497
859	3032	493
860	3035	490
861	3039	486
862	3042	483
863	3045	479
864	3047	475
865	3050	472
866	3055	468
867	3058	465
868	3061	461
869	3063	457
870	3067	454
871	3070	450
872	3076	447
873	3082	444
874	3087	441
875	3090	437
876	3093	433
877	3096	430
878	3100	426
879	3104	423
